name	"D1C,1"	"D1C,2"	"D1C,3"	"D1C,4"	"D1C,5"	"D1C,6+"	"D1T,1"	"D1T,2"	"D1T,3"	"D1T,4"	"D1T,5"	"D1T,6+"	"DM2,1"	"DM3,1"	"DM3,2"	"DM4,1"	"DM4,2"	"DM4,3"	"DM5+,1"	"DM5+,2"	"DM5+,3"	"DM5+,4"	"DM5+,5+"	"DR2,1"	"DR2,2"	"DR2,3"	"DR2,4"	"DR2,5"	"DR2,6+"	"DR3,1"	"DR3,2"	"DR3,3"	"DR3,4"	"DR3,5"	"DR3,6+"	"DR4,1"	"DR4,2"	"DR4,3"	"DR4,4"	"DR4,5"	"DR4,6+"	"DR5+,1"	"DR5+,2"	"DR5+,3"	"DR5+,4"	"DR5+,5"	"DR5+,6+"	"I1C,0"	"I1C,1"	"I1C,2"	"I1C,3"	"I1C,4"	"I1C,5+"	"I1T,0"	"I1T,1"	"I1T,2"	"I1T,3"	"I1T,4"	"I1T,5+"	"IR2,0"	"IR2,1"	"IR2,2"	"IR2,3"	"IR2,4"	"IR2,5+"	"IR3,0"	"IR3,1"	"IR3,2"	"IR3,3"	"IR3,4"	"IR3,5+"	"IR4,0"	"IR4,1"	"IR4,2"	"IR4,3"	"IR4,4"	"IR4,5+"	"IR5+,0"	"IR5+,1"	"IR5+,2"	"IR5+,3"	"IR5+,4"	"IR5+,5+"
ID1	0.000159889	0.000773523	3.31E-18	0.001907613	0.00070599	0.003370115	0.001311605	3.31E-18	0.000936453	0.002295855	0.004291422	3.31E-18	0.001197815	8.19E-05	0.001479593	8.38E-05	0.000145479	0.000160684	8.16E-07	2.38E-10	2.33E-12	3.88E-05	0.000665116	0.000686046	0.001219969	0.000472749	0.00042672	5.46E-05	3.31E-18	0.000128045	0.005011085	0.000769383	0.000371256	3.31E-18	3.31E-18	9.97E-05	0.000900503	3.23E-06	3.31E-18	3.31E-18	2.89E-05	8.35E-06	0.000190676	0.000126355	1.89E-05	3.11E-06	3.13E-05	3.31E-18	3.31E-18	3.31E-18	0.000845986	0.001785525	0.024296536	0.002283824	4.03E-05	0.000192865	0.004243267	0.016649127	0.890906464	0.000402036	7.88E-06	0.000221347	0.000514268	0.0029131	0.018121584	3.06E-07	0.000254695	4.41E-05	0.000166702	8.89E-05	0.001248696	3.31E-18	0.000744381	7.55E-05	0.000157544	0.000319653	0.00100132	3.31E-18	0.001443126	0.000254832	0.000237087	0.000261865	0.000119834
ID2	0.004824116	2.21E-05	3.11E-06	0.002472076	0.003856976	0.014615424	0.007905966	3.95E-18	0.007036418	0.020234743	0.047119925	0.814697222	0.000175553	5.46E-07	0.002944063	0.000147005	0.000550614	0.000693566	0.000624963	0.000117708	5.67E-05	0.000462842	0.002367319	0.000163809	0.003568885	0.001849574	0.000739044	0.000881932	4.67E-18	1.25E-05	0.005003258	0.002289891	0.000402587	3.97E-18	3.95E-18	1.21E-05	0.002115787	0.000543292	7.27E-06	3.95E-18	0.000210413	3.85E-05	0.002977512	0.000397525	0.000158151	8.47E-05	2.12E-05	3.95E-18	0.000227026	2.62E-05	0.00043005	0.002911846	0.009017536	0.001328556	3.95E-18	0.000647033	0.001082879	0.003487461	0.003132585	0.000331853	0.000271665	0.001035341	0.000381326	0.001977423	0.013633376	5.78E-05	0.00122705	0.000210075	3.02E-06	0.000141807	0.001864707	1.68E-05	0.001203728	1.22E-05	0.000134169	0.000249385	0.002193545	3.95E-18	0.000135658	5.53E-06	9.77E-05	2.15E-06	0.000115629
ID3	0.124727109	0.208876169	0.176324217	0.064042764	0.043989808	0.022417486	0.03759923	0.013309824	0.016501851	0.020141477	0.015814364	0.008066314	0.006930764	0.000344612	0.00030285	7.35E-05	0.000340216	0.000130463	0.001369634	0.001751272	0.000774958	0.000640555	0.00036297	0.006897553	0.008474654	0.011800641	0.006671125	0.002822525	0.000101239	0.000589124	0.000372386	9.63E-05	2.45E-05	3.82E-06	3.83E-07	0.000177645	0.000634573	0.000116799	4.12E-18	4.12E-18	2.83E-06	0.001776785	7.41E-05	2.78E-06	4.12E-18	4.37E-05	3.82E-06	0.002083092	0.001578887	0.001747946	0.006177647	0.007104447	0.007351101	0.018722365	0.043119029	0.04015704	0.025125434	0.006563305	0.026181239	0.00263595	0.002242683	0.000955604	0.000897238	0.000253085	6.67E-06	9.60E-05	0.000286144	9.75E-05	1.36E-05	1.56E-06	4.12E-18	4.12E-18	0.000175982	2.74E-05	4.77E-05	4.18E-06	3.29E-05	8.83E-05	0.00065622	5.51E-06	3.32E-05	7.87E-06	3.48E-06
ID4	0.007249717	0.002734869	0.002041063	0.001112283	0.001075684	0.002246178	0.006635052	0.001622466	0.002633405	0.000306038	0.001023202	0.000154442	0.18899749	0.007034156	0.049416601	0.010981719	0.029483877	0.04886664	0.000453121	0.000136232	0.001112236	0.003652946	4.56E-05	0.071724214	0.23051288	0.055059396	0.012811006	0.003219218	0.002382721	0.005068954	0.097114466	0.021484282	0.003837627	0.000786295	0.001138609	0.007252429	0.06352373	0.014548922	0.004554752	0.000849679	0.00061078	0.004132826	0.015718533	0.002343845	0.00118248	0.000146923	0.000106174	6.62E-18	0.000272399	6.88E-05	0.000512481	6.62E-18	0.000249143	0.000333665	0.001010044	1.06E-05	0.000173935	1.60E-05	0.000832926	0.000492922	0.000553302	0.000266335	0.000137794	7.19E-05	0.000103689	2.63E-05	0.000450983	0.000600335	7.42E-05	7.40E-05	3.96E-05	0.000166645	0.001266435	9.84E-05	5.25E-05	0.000146911	0.000135205	8.58E-05	0.002135852	0.000222027	7.59E-06	2.53E-05	0.000160229
ID5	0.022202108	0.028547215	0.026596927	0.014159122	0.002873422	0.002602449	0.101481149	0.106099611	0.114128464	0.088962208	0.052259532	0.030610523	0.028687946	0.013157147	0.00900421	0.008732202	0.006047187	0.003442442	0.008617073	0.007851021	0.007157975	0.002492549	0.001112367	0.028054407	0.024562729	0.004562618	0.000395919	0.000867563	0.02142678	0.01713637	0.005909794	0.00084271	0.000621155	0.005867075	0.008378911	0.010791265	0.002843569	0.000164644	0.003877814	0.004557254	0.001584436	0.018447949	0.000410335	0.000470925	0.000257167	9.73E-05	0.000585018	0.000542252	0.001242898	0.003151667	0.000602848	0.000197582	0.000433544	0.006361965	0.013462697	0.029721144	0.01884025	0.011268752	0.001439215	0.006349454	0.018387642	0.007207952	0.001172292	6.88E-05	0.000994122	0.003792478	0.006122761	0.001143468	1.02E-05	1.18E-05	0.000102574	0.002439186	0.003612298	0.000376459	1.87E-06	6.41E-06	0.000635977	0.004750071	0.004793431	0.000298796	0.000165546	0.000126707	0.000626342
ID6	0.030506799	0.005491903	0.008033994	0.001102379	0.00247817	0.001322073	0.004284162	0.000677688	0.011659665	0.022242391	0.017697141	0.007954345	0.000632866	0.000990097	0.00443363	0.002745395	0.00868271	0.004773094	0.071066579	0.253108347	0.216806032	0.120483943	0.099282999	0.001783647	0.002454347	0.0020886	0.000525746	0.000232527	0.000215685	0.001051047	0.005413653	0.000536054	4.70E-05	7.31E-05	0.000150616	0.002315098	0.002806729	0.00047449	0.000291345	0.000110576	5.68E-05	0.019333291	0.007501825	0.000370524	0.000168175	5.32E-05	1.15E-05	0.002086887	0.001773433	0.000246169	0.000232169	0.000376592	0.000247997	0.006396251	0.001041187	0.000738848	0.000930638	0.001349852	0.014390041	0.001998387	0.000208533	0.000790414	0.000499074	0.000189469	0.000748642	0.001219185	0.000288615	0.000746533	0.000249737	0.000155952	1.98E-05	0.001467917	0.000476283	0.000528663	0.000334824	5.60E-05	0.000106861	0.008716781	0.005405643	0.001321843	2.88E-05	4.83E-05	6.17E-05
ID7	0.000466561	0	0.008561945	0.042360147	0.114891909	0.251763142	0.00266749	0.007732725	0.00025476	0.028972742	0.158850553	1.92E-07	0.003127058	0.00025476	0.004635639	0.000183827	0.001019041	0.000717325	2.36E-05	0.000245769	6.16E-05	6.82E-05	0.001738365	2.33E-05	0.008182302	0.008991541	0.072132138	0.052250842	0.057046331	0.000625412	0.011689003	0.005474849	0.003456748	0.000492537	0.000436589	0.000130877	0.003396804	0.002777387	0.000439586	0.00020181	0.000250764	8.55E-05	0.003476729	0.0011689	0.000406617	0.000125882	2.08E-05	0.000672367	2.62E-05	2.58E-05	0.002407735	0.015485431	0.060343229	1.36E-06	0.000373648	0.018382706	0.008891635	0.012787969	0.010789849	3.04E-05	0.000397626	7.01E-05	0.003147039	0.00182828	0.00024477	0	5.51E-06	5.47E-05	0.000177833	0.000415609	0.000769276	0	2.61E-05	0.000194817	0.000273742	0.000258757	8.74E-06	0	0	8.84E-06	4.46E-06	1.06E-05	4.28E-06
ID8	0.039827558	0.023915938	0.003330554	0.005403153	0.001275709	0.000933729	0.034243687	0.010452076	0.00899203	0.009825045	0.00127378	0.010620342	0.004913672	0.009290337	0.004302693	0.005809551	0.001591587	0.001098342	0.280724261	0.123610163	0.046130408	0.016367256	0.012814882	0.008769219	0.010307145	0.000532026	2.71E-05	0.000274027	0.000833079	0.010964101	0.001348867	0.000376571	0.000253509	2.68E-06	9.10E-05	0.006691309	0.001622955	0.000272623	2.88E-05	9.73E-05	6.34E-06	0.237978863	0.000572257	0.000516838	8.16E-06	0.000112898	4.43E-05	0.002764271	0.002169119	0.001527	0.000116524	0.000554177	0.000489489	0.004507979	0.004868696	0.001429636	0.001087286	0.000822618	0.020161248	0.00191671	0.001661816	0.000304586	0.000177583	1.66E-05	0.001764384	0.000667863	0.000671723	0.000135768	3.79E-05	0.000122041	3.66E-05	0.000777758	0.001103901	7.99E-05	8.58E-06	0.000205515	0.000885225	0.000318329	0.009761114	0.000101153	7.09E-05	6.74E-06	0.000190551
ID9	0.334939881	0.099994226	0.002690655	0.010625416	0.012496902	4.48E-05	0.105105373	0.044293641	0.085861956	0.113250663	0.094412737	0.000929835	0.003900972	0.003011328	0.001543302	0.001927721	0.003297448	0.002544079	3.54E-05	0.000221236	0.000570907	0.000448308	5.41E-18	0.013174747	0.003198541	0.001189697	9.59E-05	5.41E-18	5.41E-18	0.002858095	0.00430191	0.001275717	0.00030211	5.41E-18	5.41E-18	0.001432774	0.004594217	0.000896024	2.38E-05	5.41E-18	1.37E-05	0.000772052	0.000479551	0.000264969	6.12E-06	7.25E-06	2.99E-05	5.41E-18	1.93E-06	0.000352623	5.41E-18	2.16E-06	7.37E-05	0.012614484	0.010385274	0.002314663	0.001600885	0.001585355	0.00577248	0.001162339	0.002100192	0.000760941	0.000351635	3.07E-05	5.41E-18	0.000254573	0.000823355	0.000118261	5.18E-06	1.61E-05	5.41E-18	0.000164387	0.000715565	4.24E-05	2.15E-05	5.41E-18	2.18E-06	0.000165846	0.001253996	0.000102849	8.02E-05	5.05E-05	9.89E-06
ID10	0.025105414	0.02930632	0.018804056	0.01650356	0.002930632	8.42E-18	0.028306105	8.42E-18	0.001510326	0.001420306	0.00241052	1.27E-17	0.000638138	0.003960854	0.019304164	0.000179039	0.000387083	8.22E-05	0.001330287	0.000124027	5.65E-05	0.000104022	0.041408931	0.000839181	0.009472042	0.006541411	0.00018504	8.42E-18	8.42E-18	0.001200259	0.042709211	0.005061091	0.002730589	8.42E-18	8.42E-18	0.001470317	0.000521112	7.50E-05	0.000132028	8.42E-18	0.000209045	0.0013903	0.026205652	0.001770382	0.00013703	0.000125027	0.001120242	8.42E-18	0.000345074	0.000272059	0.002580556	0.000411089	0.000851184	0.017003667	0.043809449	0.003650787	0.003750809	9.66E-06	1.11E-08	0.025305458	0.038908392	0.026205652	0.00028006	8.42E-18	8.42E-18	0.018103905	0.055211908	0.009432034	0.000461099	0.00018704	0.00018504	0.016003452	0.074616092	0.004090882	0.000239052	0.002280492	0.013802977	0.049210613	0.278059971	0.009221989	0.003660789	0.00334072	0.002740591
