id	name	num_donors	ssm_path	counts_path	clinical_path	source
PCAWG-BLCA-US	"Bladder Urothelial Cancer - TCGA, US"	23	mutations/PCAWG/ssm/ssm.PCAWG-BLCA-US.tsv	mutations/PCAWG/counts/counts.PCAWG-BLCA-US.tsv		PCAWG
PCAWG-BOCA-UK	Bone Cancer - UK	76	mutations/PCAWG/ssm/ssm.PCAWG-BOCA-UK.tsv	mutations/PCAWG/counts/counts.PCAWG-BOCA-UK.tsv		PCAWG
PCAWG-BRCA-EU	Breast ER+ and HER2- Cancer - EU/UK	79	mutations/PCAWG/ssm/ssm.PCAWG-BRCA-EU.tsv	mutations/PCAWG/counts/counts.PCAWG-BRCA-EU.tsv	clinical/PCAWG/donor.PCAWG-BRCA-EU.tsv	PCAWG
PCAWG-BRCA-UK	Breast Triple Negative/Lobular Cancer - UK	46	mutations/PCAWG/ssm/ssm.PCAWG-BRCA-UK.tsv	mutations/PCAWG/counts/counts.PCAWG-BRCA-UK.tsv	clinical/PCAWG/donor.PCAWG-BRCA-UK.tsv	PCAWG
PCAWG-BRCA-US						PCAWG
PCAWG-BTCA-SG						PCAWG
PCAWG-CESC-US						PCAWG
PCAWG-CLLE-ES						PCAWG
PCAWG-CMDI-UK						PCAWG
PCAWG-COAD-US						PCAWG
PCAWG-DLBC-US						PCAWG
PCAWG-EOPC-DE						PCAWG
PCAWG-ESAD-UK						PCAWG
PCAWG-GACA-CN						PCAWG
PCAWG-GBM-US						PCAWG
PCAWG-HNSC-US						PCAWG
PCAWG-KICH-US						PCAWG
PCAWG-KIRC-US						PCAWG
PCAWG-KIRP-US						PCAWG
PCAWG-LAML-KR						PCAWG
  PCAWG-LGG-US						PCAWG
    - 'PCAWG-LICA-FR'						PCAWG
    - 'PCAWG-LIHC-US'						PCAWG
    - 'PCAWG-LINC-JP'						PCAWG
    - 'PCAWG-LIRI-JP'						PCAWG
    - 'PCAWG-LUAD-US'						PCAWG
    - 'PCAWG-LUSC-US'						PCAWG
    - 'PCAWG-MALY-DE'						PCAWG
    - 'PCAWG-MELA-AU'						PCAWG
    - 'PCAWG-ORCA-IN'						PCAWG
    - 'PCAWG-OV-AU'						PCAWG
    - 'PCAWG-OV-US'						PCAWG
    - 'PCAWG-PACA-AU'						PCAWG
    - 'PCAWG-PACA-CA'						PCAWG
    - 'PCAWG-PAEN-AU'						PCAWG
    - 'PCAWG-PAEN-IT'						PCAWG
    - 'PCAWG-PBCA-DE'						PCAWG
    - 'PCAWG-PRAD-CA'						PCAWG
    - 'PCAWG-PRAD-UK'						PCAWG
    - 'PCAWG-PRAD-US'						PCAWG
    - 'PCAWG-READ-US'						PCAWG
    - 'PCAWG-RECA-EU'						PCAWG
    - 'PCAWG-SARC-US'						PCAWG
    - 'PCAWG-SKCM-US'						PCAWG
    - 'PCAWG-STAD-US'						PCAWG
    - 'PCAWG-THCA-US'						PCAWG
    - 'PCAWG-UCEC-US'						PCAWG
						alexandrov2013
						alexandrov2013
						alexandrov2013
						alexandrov2013
						alexandrov2013
						alexandrov2013
