name	index	description	publication
COSMIC 1	10	Signature 1 is the result of an endogenous mutational process initiated by spontaneous deamination of 5-methylcytosine.	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 2	20	"Signature 2 has been attributed to activity of the AID/APOBEC family of cytidine deaminases. On the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems, a role for APOBEC1, APOBEC3A and/or APOBEC3B in human cancer appears more likely than for other members of the family. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 3	30	Signature 3 is associated with failure of DNA double-strand break-repair by homologous recombination. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 4	40	"Signature 4 is associated with smoking and its profile is similar to the mutational pattern observed in experimental systems exposed to tobacco carcinogens (e.g., benzo[a]pyrene). Signature 4 is likely due to tobacco mutagens. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 5	50	The aetiology of Signature 5 is unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 6	60	Signature 6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 7	70	Based on its prevalence in ultraviolet exposed areas and the similarity of the mutational pattern to that observed in experimental systems exposed to ultraviolet light Signature 7 is likely due to ultraviolet light exposure. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 8	80	The aetiology of Signature 8 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 9	90	"Signature 9 is characterized by a pattern of mutations that has been attributed to polymerase _, which is implicated with the activity of AID during somatic hypermutation."	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 10	100	"It has been proposed that the mutational process underlying this signature is altered activity of the error-prone polymerase POLE. The presence of large numbers of Signature 10 mutations is associated with recurrent POLE somatic mutations, viz., Pro286Arg and Val411Leu. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 11	110	Signature 11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories have revealed an association between treatments with the alkylating agent temozolomide and Signature 11 mutations. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 12	120	The aetiology of Signature 12 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 13	130	"Signature 13 has been attributed to activity of the AID/APOBEC family of cytidine deaminases converting cytosine to uracil. On the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems, a role for APOBEC1, APOBEC3A and/or APOBEC3B in human cancer appears more likely than for other members of the family. Signature 13 causes predominantly C>G mutations. This may be due to generation of abasic sites after removal of uracil by base excision repair and replication over these abasic sites by REV1. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 14	140	The aetiology of Signature 14 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 15	150	Signature 15 is associated with defective DNA mismatch repair. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 16	160	The aetiology of Signature 16 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 17	170	The aetiology of Signature 17 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 18	180	The aetiology of Signature 18 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 19	190	The aetiology of Signature 19 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 20	200	Signature 20 is believed to be associated with defective DNA mismatch repair. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 21	210	The aetiology of Signature 21 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 22	220	"Signature 22 has been found in cancer samples with known exposures to aristolochic acid. Additionally, the pattern of mutations exhibited by the signature is consistent with the one previous observed in experimental systems exposed to aristolochic acid. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 23	230	The aetiology of Signature 23 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 24	240	"Signature 24 has been found in cancer samples with known exposures to aflatoxin. Additionally, the pattern of mutations exhibited by the signature is consistent with that previous observed in experimental systems exposed to aflatoxin. "	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 25	250	The aetiology of Signature 25 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 26	260	Signature 26 is believed to be associated with defective DNA mismatch repair. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 27	270	The aetiology of Signature 27 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 28	280	The aetiology of Signature 28 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 29	290	Signature 29 has been found in cancer samples from individuals with a tobacco chewing habit. 	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 30	300	The aetiology of Signature 30 remains unknown. 	"Alexandrov L.B. et al., Nature (2013)"
5* (TCGA-130)	51		"Kim et al., Nature Genetics (2016)"
5* (DFCI-MSK-50)	52		"Kim et al., Nature Genetics (2016)"
5* (BGI-99 C>T_CpG+)	53		"Kim et al., Nature Genetics (2016)"
5* (COMB-279)	54		"Kim et al., Nature Genetics (2016)"
5* (COMB-MI-242)	55		"Kim et al., Nature Genetics (2016)"
5* (TCGA-130/DFCI-MSK-50)	56		"Kim et al., Nature Genetics (2016)"
